Apartment_name	Address	City	State	Zip	Bedrooms 	Bathrooms
Asteria	4 Emerson Place	Boston	MA	2114	0	0
Asteria 312	4 Emerson Place	Boston	MA	2114	2	2
Asteria 502	4 Emerson Place	Boston	MA	2114	2	2
Asteria 514	4 Emerson Place	Boston	MA	2114	2	2
Asteria 811	4 Emerson Place	Boston	MA	2114	1	1
Asteria 903	4 Emerson Place	Boston	MA	2114	1	1
Asteria 1109	4 Emerson Place	Boston	MA	2114	2	2
Vesta	175 Blossom Street	Boston	MA	2114	0	0
Vesta 402	175 Blossom Street	Boston	MA	2114	1	1
Vesta 403	175 Blossom Street	Boston	MA	2114	2	2
Vesta 406	175 Blossom Street	Boston	MA	2114	2	2
Vesta 502	175 Blossom Street	Boston	MA	2114	1	1
Vesta 506	175 Blossom Street	Boston	MA	2114	2	2
Vesta 507	175 Blossom Street	Boston	MA	2114	2	2
Vesta 602	175 Blossom Street	Boston	MA	2114	1	1
Vesta 604	175 Blossom Street	Boston	MA	2114	1	1
Vesta 607	175 Blossom Street	Boston	MA	2114	2	2
Vesta 706	175 Blossom Street	Boston	MA	2114	2	2
Vesta 803	175 Blossom Street	Boston	MA	2114	2	2
1330 Boylston	1330 Boylston Street	Boston	MA	2215	0	0
1330 Boylston 908	1330 Boylston Street	Boston	MA	2215	3	2
Garrison Square	30 Garrison Street	Boston	MA	2115	0	0
Garrison 305	30 Garrison Street	Boston	MA	2115	2	1
