id,Apartment_name,Address,City,State,Zip,Bedrooms,Bathrooms
0,Asteria,4 Emerson Place,Boston,MA,2114,0,0
1,Asteria 312,4 Emerson Place,Boston,MA,2114,2,2
2,Asteria 502,4 Emerson Place,Boston,MA,2114,2,2
3,Asteria 514,4 Emerson Place,Boston,MA,2114,2,2
4,Asteria 811,4 Emerson Place,Boston,MA,2114,1,1
5,Asteria 903,4 Emerson Place,Boston,MA,2114,1,1
6,Asteria 1109,4 Emerson Place,Boston,MA,2114,2,2
7,Vesta,175 Blossom Street,Boston,MA,2114,0,0
8,Vesta 402,175 Blossom Street,Boston,MA,2114,1,1
9,Vesta 403,175 Blossom Street,Boston,MA,2114,2,2
10,Vesta 406,175 Blossom Street,Boston,MA,2114,2,2
11,Vesta 502,175 Blossom Street,Boston,MA,2114,1,1
12,Vesta 506,175 Blossom Street,Boston,MA,2114,2,2
13,Vesta 507,175 Blossom Street,Boston,MA,2114,2,2
14,Vesta 602,175 Blossom Street,Boston,MA,2114,1,1
15,Vesta 604,175 Blossom Street,Boston,MA,2114,1,1
16,Vesta 607,175 Blossom Street,Boston,MA,2114,2,2
17,Vesta 706,175 Blossom Street,Boston,MA,2114,2,2
18,Vesta 803,175 Blossom Street,Boston,MA,2114,2,2
19,1330 Boylston,1330 Boylston Street,Boston,MA,2215,0,0
20,1330 Boylston 908,1330 Boylston Street,Boston,MA,2215,3,2
21,Garrison Square,30 Garrison Street,Boston,MA,2115,0,0
22,Garrison 305,30 Garrison Street,Boston,MA,2115,2,1
